age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud,Month,Day,Year
46,1,1.0,85,38301,1,1,1,80006,4,1,1,0.0,74,0,0,7530.940993000001,9.0,0,12885.45235,6,16161.33381,0,12,16,2016
21,0,0.0,75,30445,0,1,1,15021,3,0,1,1.0,79,1,0,2966.024895,4.0,2,29429.45218,6,28691.96422,0,2,12,2015
49,0,0.0,87,38923,0,1,0,20158,1,1,0,0.0,0,0,0,6283.888333,3.0,0,21701.18195,6,22090.94758,1,12,6,2016
58,0,1.0,58,40605,1,0,0,15024,3,1,3,0.0,99,0,1,6169.747993999999,4.0,1,13198.27344,3,38329.58106,1,5,5,2016
38,1,1.0,95,36380,1,0,1,50034,1,0,0,1.0,7,0,0,4541.38715,7.0,1,38060.21122,2,25876.56319,0,10,27,2015
56,0,0.0,72,40240,0,0,0,50047,2,0,0,0.0,64,2,0,5388.645056,4.0,1,17688.204980000002,0,15234.08204,1,11,16,2016
27,1,1.0,80,32952,1,0,1,15001,5,2,0,0.0,50,1,1,8960.072398999999,7.0,0,26411.53682,4,28994.53868,0,3,14,2015
40,1,1.0,79,36891,1,1,0,80016,3,1,5,0.0,95,1,1,13844.3649,8.0,1,11355.27013,3,34045.83028,0,1,7,2016
45,0,0.0,86,38069,0,1,0,15024,1,2,0,0.0,3,0,0,6038.5015140000005,5.0,0,49267.97071,0,23206.50804,0,3,31,2015
31,1,1.0,80,34324,0,1,1,85032,3,2,0,0.0,9,0,0,5869.947858,5.0,2,19929.78577,6,37277.7591,0,9,3,2015
53,0,1.0,76,39699,1,0,0,15057,5,1,0,0.0,19,0,0,8201.183031999999,6.0,1,24156.55616,1,14259.725869999998,0,5,14,2016
59,0,1.0,93,40753,1,1,0,50033,3,1,0,1.0,8,0,1,6051.751915,3.0,2,7697.895045,0,6736.245994,0,2,12,2015
25,1,1.0,75,32194,1,0,1,80003,5,2,1,0.0,99,1,0,4225.808816,5.0,2,18676.98753,6,5011.824995,0,7,11,2015
39,0,0.0,35,36635,0,1,1,15035,0,1,0,0.0,98,2,1,4650.054155,6.0,0,17917.04586,4,13752.12455,1,4,20,2015
51,1,0.0,75,39322,0,1,0,85023,1,1,0,0.0,12,0,1,6671.129734,5.0,1,56012.23142999999,0,15393.23312,0,6,30,2015
47,1,1.0,87,38516,0,0,1,15020,2,1,0,0.0,57,0,0,6521.146712,4.0,1,36074.48477,1,14712.63063,1,8,5,2015
26,1,1.0,83,32592,1,0,1,20135,2,2,0,0.0,81,2,1,8782.034073,7.0,0,28340.54126,0,25538.26508,0,11,11,2015
46,1,0.0,81,38293,1,1,1,20101,4,1,0,0.0,50,0,1,4559.869785,3.0,1,16442.55536,1,25421.81041,1,2,19,2016
43,0,1.0,96,37609,0,1,0,15056,5,2,2,0.0,71,1,1,6835.285806999999,5.0,0,14937.5385,5,20063.32729,1,4,23,2016
39,1,0.0,91,36639,1,0,1,80003,1,1,0,1.0,57,0,1,6466.409413,4.0,0,20088.60345,5,26804.02332,0,11,3,2015
40,1,0.0,76,36876,0,0,1,15024,6,2,0,0.0,28,1,0,1538.279552,6.0,1,26225.83063,5,21347.75102,0,10,25,2015
70,1,1.0,90,42499,1,0,1,80101,4,1,0,1.0,59,0,0,3411.9432450000004,8.0,2,22996.25703,3,24842.25389,0,4,24,2015
24,1,0.0,80,31796,0,1,1,50038,3,2,2,0.0,34,1,1,5037.605111,7.0,0,9224.079753,2,54331.0653,1,4,14,2016
32,1,1.0,82,34674,1,1,1,85040,6,0,0,1.0,1,0,1,9507.865266,2.0,0,19493.52905,4,8507.918045,0,3,27,2016
50,1,0.0,85,39119,1,0,1,80110,2,2,0,1.0,2,2,1,1644.576186,8.0,0,38604.01817,6,18023.00599,0,8,3,2016
200,1,1.0,60,52988,1,1,1,85020,5,0,0,0.0,85,2,1,5782.266662,5.0,0,21503.30207,3,21437.33521,0,12,26,2015
44,1,1.0,85,37855,1,1,0,20141,6,2,0,0.0,27,1,1,4308.093194,2.0,0,12562.74575,0,22076.24297,0,5,31,2015
37,0,1.0,65,36117,1,1,0,15001,4,0,0,0.0,17,2,0,5854.332086,6.0,1,20679.53061,1,16762.27489,0,8,19,2016
52,0,1.0,68,39512,1,1,1,20111,5,0,0,1.0,50,2,0,5801.718463,3.0,1,32411.116680000003,0,43143.73673,0,1,9,2016
56,1,1.0,67,40259,1,0,1,80021,2,1,0,0.0,79,2,0,6035.780111,2.0,2,23285.86257,6,51321.03238,0,11,4,2015
32,1,0.0,89,34654,1,1,0,80030,4,1,0,0.0,0,2,1,7432.543251999999,6.0,0,23283.72654,6,18770.23633,0,2,13,2015
40,0,1.0,84,36893,1,1,0,50054,1,1,0,0.0,31,0,1,7732.19714,3.0,1,10546.61343,4,13309.89239,0,5,12,2015
52,0,0.0,84,39496,0,1,0,80013,5,2,0,0.0,60,0,0,5919.395308,8.0,1,40471.74613,5,24617.92855,0,4,23,2016
50,1,1.0,90,39129,0,0,0,85028,5,0,5,0.0,54,2,1,4491.348462,3.0,1,11816.91717,6,27109.69521,0,8,15,2015
